Time(s),TidalVolume(mL)
57.44,465.996
57.48,465.996
57.52,476.571
57.56,476.571
57.6,476.571
57.64,476.571
57.68,476.571
57.72,476.571
57.76,476.571
57.8,476.571
57.84,476.571
57.88,476.571
57.92,476.571
57.96,476.571
58,476.571
58.04,476.571
58.08,476.571
58.12,476.571
58.16,476.571
58.2,476.571
58.24,476.571
58.28,476.571
58.32,476.571
58.36,476.571
58.4,476.571
58.44,476.571
58.48,476.571
58.52,476.571
58.56,476.571
58.6,476.571
58.64,476.571
58.68,476.571
58.72,476.571
58.76,476.571
58.8,476.571
58.84,476.571
58.88,476.571
58.92,476.571
58.96,476.571
59,476.571
59.04,476.571
59.08,476.571
59.12,476.571
59.16,476.571
59.2,476.571
59.24,476.571
59.28,476.571
59.32,476.571
59.36,476.571
59.4,476.571
59.44,476.571
59.48,476.571
59.52,476.571
59.56,476.571
59.6,476.571
59.64,476.571
59.68,476.571
59.72,476.571
59.76,476.571
59.8,476.571
59.84,476.571
59.88,476.571
59.92,476.571
59.96,476.571
60,476.571
60.04,476.571
60.08,476.571
60.12,476.571
60.16,476.571
60.2,476.571
60.24,476.571
60.28,476.571
60.32,476.571
60.36,476.571
60.4,476.571
60.44,476.571
60.48,476.571
60.52,476.571
60.56,476.571
60.6,476.571
60.64,476.571
60.68,476.571
60.72,476.571
60.76,476.571
60.8,476.571
60.84,490.211
60.88,490.211
60.92,490.211
60.96,490.211
61,490.211
61.04,490.211
61.08,490.211
61.12,490.211
61.16,490.211
61.2,490.211
61.24,490.211
61.28,490.211
61.32,490.211
61.36,490.211
61.4,490.211
61.44,490.211
61.48,490.211
61.52,490.211
61.56,490.211
61.6,490.211
61.64,490.211
61.68,490.211
61.72,490.211
61.76,490.211
61.8,490.211
61.84,490.211
61.88,490.211
61.92,490.211
61.96,490.211
62,490.211
62.04,490.211
62.08,490.211
62.12,490.211
62.16,490.211
62.2,490.211
62.24,490.211
62.28,490.211
62.32,490.211
62.36,490.211
62.4,490.211
62.44,490.211
62.48,490.211
62.52,490.211
62.56,490.211
62.6,490.211
62.64,490.211
62.68,490.211
62.72,490.211
62.76,490.211
62.8,490.211
62.84,490.211
62.88,490.211
62.92,490.211
62.96,490.211
63,490.211
63.04,490.211
63.08,490.211
63.12,490.211
63.16,490.211
63.2,490.211
63.24,490.211
63.28,490.211
63.32,490.211
63.36,490.211
63.4,490.211
63.44,490.211
63.48,490.211
63.52,490.211
63.56,490.211
63.6,490.211
63.64,490.211
63.68,490.211
63.72,490.211
63.76,490.211
63.8,490.211
63.84,490.211
63.88,490.211
63.92,490.211
63.96,490.211
64,490.211
64.04,490.211
64.08,500.719
64.12,500.719
64.16,500.719
64.2,500.719
64.24,500.719
64.28,500.719
64.32,500.719
64.36,500.719
64.4,500.719
64.44,500.719
64.48,500.719
64.52,500.719
64.56,500.719
64.6,500.719
64.64,500.719
64.68,500.719
